standardName,state,year,month,period,main,costCenterMain,costCenterMainDesc,name1,name3,name5,obj2,obj3,obj4,obj6,name5desc,obj4desc,obj6desc,gfs2,gfs3,gfs4,gfs2desc,gfs3desc,gfs4Desc,originalBudget,totalBudget,actual
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,111,1111,111101,,Wages and salaries (Public Sector Payees),Payable by individuals,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,2843434.8,2843435,207672.1
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,111,1111,111102,,Wages and salaries (Private Sector Employees),Payable by individuals,11,111,1111,Taxes,"Taxes on income, profits, and capital gains",Payable by individuals,1416685,1416685,29809.2
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,111,1112,111201,,Corporate profit tax ,Payable by corporations,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,800000,800000,52719
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,111,1112,111204,,Rental income,Payable by corporations,11,111,1112,Taxes,"Taxes on income, profits, and capital gains",Payable by corporations and other enterprises,70000,270000,5275
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,114,1141,114101,,Mineral Water,Excise taxes (domestic),11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,120000,120000,
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,114,1142,114202,,Hotels and tiket taxes ,Sales tax,11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,675000,400000,
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,114,1143,114301,,Telecommunications,Turnover tax on services (presumtive tax),11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,7280000,5800000,
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,114,1143,114302,,Money transfer companies,Turnover tax on services (presumtive tax),11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,800000,400000,
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,114,1143,114303,,Consumer light industries,Turnover tax on services (presumtive tax),11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,3600000,1039076,
dbSomaliaFgsRevExp,fgs,2016,Jan,2016-01,Revenue,,,,,,11,114,1143,114304,,Consumer water industries,Turnover tax on services (presumtive tax),11,114,1141,Taxes,Taxes on goods & services,General taxes on goods & services,96000,96000,
